fruit_name,cate3,width,height,weight
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,8.6,7.5,290
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,9.5,7.5,295
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
apple_fuji,상,8.8,7.2,270
